"transaction_id","user_id","age","gender","daily_screen_time_hours","social_media_hours","gaming_hours","work_study_hours","sleep_hours","notifications_per_day","app_opens_per_day","weekend_screen_time","stress_level","academic_work_impact","addiction_level","addicted_label"
"TXN00001","U00001",21,"Male","3.23","2.01","0.89","4.55","7.55",248,154,"3.95","Medium","Yes","None",0
"TXN00002","U00002",24,"Other","5.09","3.81","2.24","4.44","7.66",127,71,"6.71","Medium","Yes","None",0
"TXN00003","U00003",31,"Other","6.06","1.36","3.83","2.35","4.92",44,106,"8.68","High","No","Mild",0
"TXN00004","U00004",32,"Other","7.83","5.85","1.51","3.54","8.23",178,107,"9.77","High","Yes","Moderate",1
"TXN00005","U00005",25,"Male","9.96","5.92","3.42","5.27","6.21",136,177,"12.55","Low","No","Severe",1
"TXN00006","U00006",26,"Male","9.32","4.26","0.29","3.99","6.9",82,56,"10.98","Medium","Yes","Severe",1
"TXN00007","U00007",25,"Male","10.4","4.93","1.6","0.86","8.61",165,95,"11.43","Medium","No","Severe",1
"TXN00008","U00008",26,"Male","4.26","4.6","2.16","4.61","6.43",169,117,"5.66","Low","No","Moderate",1
"TXN00009","U00009",21,"Other","4.38","1.38","2.72","3.78","6.23",172,134,"6.2","High","Yes","None",0
"TXN00010","U00010",35,"Other","9.76","4.73","1.36","2.11","5.21",20,82,"12.69","Low","Yes","Severe",1
